"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Date exited ""Closed lost (Sales Pipeline)""","hs_v2_date_exited_closedlost","datetime","The date and time when the deal exited the 'Closed lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","4.69%","",""
"Date exited ""Closed won (Sales Pipeline)""","hs_v2_date_exited_closedwon","datetime","The date and time when the deal exited the 'Closed won' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","8.59%","",""
"Date exited ""Contract sent (Sales Pipeline)""","hs_v2_date_exited_contractsent","datetime","The date and time when the deal exited the 'Contract sent' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","20.31%","",""
"Date exited ""Proposal Completed (Sales Pipeline)""","hs_v2_date_exited_decisionmakerboughtin","datetime","The date and time when the deal exited the 'Proposal Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","41.41%","",""
"Date exited ""Presentation scheduled (Sales Pipeline)""","hs_v2_date_exited_presentationscheduled","datetime","The date and time when the deal exited the 'Presentation scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","32.03%","",""
"Date exited ""Discovery Completed (Sales Pipeline)""","hs_v2_date_exited_qualifiedtobuy","datetime","The date and time when the deal exited the 'Discovery Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","34.38%","",""
"Latest time in ""MEDDPICC Completed (Sales Pipeline)""","hs_v2_latest_time_in_32876426","number","The total time in seconds spent by the deal in the 'MEDDPICC Completed' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","29.69%","",""
"Latest time in ""Appointment scheduled (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586250","number","The total time in seconds spent by the deal in the 'Appointment scheduled' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Latest time in ""Discovery Completed (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586251","number","The total time in seconds spent by the deal in the 'Discovery Completed' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""MEDDPICC Completed (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586252","number","The total time in seconds spent by the deal in the 'MEDDPICC Completed' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Presentation scheduled (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586253","number","The total time in seconds spent by the deal in the 'Presentation scheduled' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Proposal Completed (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586254","number","The total time in seconds spent by the deal in the 'Proposal Completed' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Contract sent (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586255","number","The total time in seconds spent by the deal in the 'Contract sent' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Closed won (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586256","number","The total time in seconds spent by the deal in the 'Closed won' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Closed lost (Virtuals Pipeline)""","hs_v2_latest_time_in_3431586257","number","The total time in seconds spent by the deal in the 'Closed lost' stage, 'Virtuals Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Latest time in ""Appointment scheduled (Sales Pipeline)""","hs_v2_latest_time_in_appointmentscheduled","number","The total time in seconds spent by the deal in the 'Appointment scheduled' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","43.75%","",""
"Latest time in ""Closed lost (Sales Pipeline)""","hs_v2_latest_time_in_closedlost","number","The total time in seconds spent by the deal in the 'Closed lost' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","4.69%","",""
"Latest time in ""Closed won (Sales Pipeline)""","hs_v2_latest_time_in_closedwon","number","The total time in seconds spent by the deal in the 'Closed won' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","8.59%","",""
"Latest time in ""Contract sent (Sales Pipeline)""","hs_v2_latest_time_in_contractsent","number","The total time in seconds spent by the deal in the 'Contract sent' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","20.31%","",""
"Latest time in ""Proposal Completed (Sales Pipeline)""","hs_v2_latest_time_in_decisionmakerboughtin","number","The total time in seconds spent by the deal in the 'Proposal Completed' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","41.41%","",""
"Latest time in ""Presentation scheduled (Sales Pipeline)""","hs_v2_latest_time_in_presentationscheduled","number","The total time in seconds spent by the deal in the 'Presentation scheduled' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","32.03%","",""
"Latest time in ""Discovery Completed (Sales Pipeline)""","hs_v2_latest_time_in_qualifiedtobuy","number","The total time in seconds spent by the deal in the 'Discovery Completed' stage, 'Sales Pipeline' pipeline since it last entered this stage","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","34.38%","",""
"Time in current stage","hs_v2_time_in_current_stage","datetime","The time this object has spent in the current pipeline stage","dealstages","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Weighted open pipeline in company currency","hs_weighted_pipeline_in_company_currency","number","Sum in company currency of open deal amount, weighted by pipeline stage","hubspotmetrics","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
